business_id,name,city,state,business avg stars,review_count,categories,business_group
b_0,"Steele, Hampton and Odonnell",Michaelbury,NV,2.5,351,"anything, week, if",A
b_1,"Kim, Andrews and Joyce",East Susan,KY,4.8,267,right,A
b_2,Simmons PLC,New Tamara,PA,3.9,397,establish,A
b_3,Noble-Murphy,Patrickhaven,CA,3.4,54,"right, campaign, so",A
b_4,,East Thomasshire,GA,1.6,278,"hour, rest",
b_5,"Dean, Martin and Grant",Bakerberg,DC,1.6,320,success,B
b_6,Simpson LLC,Gomezmouth,OR,1.2,169,apply,B
b_7,Lee PLC,Jenniferchester,MD,4.5,287,always,
b_8,Griffin Inc,Vargasfurt,WI,3.4,354,"join, could, statement",A
b_9,"Harper, Faulkner and Smith",West Michael,IA,3.8,484,executive,B
,Stout-Hendrix,Whiteport,CT,1.1,64,"PM, investment, across",A
b_11,"Arias, Parks and Bruce",Davidbury,NM,4.9,154,"enter, laugh, friend",B
b_12,Rodriguez Group,Harmonbury,TX,4.3,463,"moment, answer, reflect",B
b_13,Brooks Group,Sloanchester,NV,1.8,244,pretty,A
b_14,"Ingram, Swanson and Mitchell",East Luke,NY,1.7,188,"clearly, camera, note",B
b_15,Lynch and Sons,Port Cynthiachester,ID,1.7,217,"born, travel",A
b_17,"Brown, Spears and Pham",West Michaelton,RI,3.1,454,difference,B
b_18,"Campbell, Brown and Glover",West Barbara,AK,2.7,362,ago,A
b_19,Wade Group,Ashleyberg,MT,2.2,403,sound,B
b_20,"Garza, Salinas and Becker",Lake Deborah,NY,3.4,491,state,A
b_21,"Martin, Turner and Pena",Victoriashire,UT,1.6,284,"agent, prevent, boy",A
b_22,Jennings Ltd,Allisonmouth,ID,2.2,393,"hotel, black, ground",B
b_23,Johnson-Hardin,Stacytown,CT,2.5,407,company,B
b_24,Beasley LLC,Bonniechester,MO,2.8,332,"investment, learn, your",A
b_25,Patel-Osborne,South Katieberg,DC,4.1,192,,B
b_26,Allen-Garcia,South Austinport,SD,1.8,70,"set, close, room",B
b_27,"Camacho, Gregory and Cochran",Paulstad,VT,3.1,449,"age, high, above",A
b_28,Black Ltd,Port James,HI,3.4,72,"month, paper, environmental",A
b_29,Cruz and Sons,West Alexandra,UT,1.2,370,,B
b_30,Liu-Wang,Lewisside,NE,3.4,224,"in, open",A
b_31,Elliott Inc,North Lori,ND,1.7,369,consumer,B
b_32,Smith PLC,New Sandraport,RI,1.3,148,"enter, fast",B
b_33,Reed-Munoz,Lake Tonyfort,GA,4.8,440,"any, foot, least",B
b_34,"Wright, Pennington and Jackson",North Ashleyview,PA,4.9,143,"continue, degree",A
b_35,"Mills, Jones and Holmes",Hudsonhaven,LA,4.2,43,cause,A
b_37,"Fields, Ballard and Haynes",Lake Leonmouth,PA,1.4,364,"stop, you, call",A
b_38,Cruz-Hoffman,Cameronport,TN,3.7,482,"pass, she",A
b_39,Crawford-Cook,Lake Amberview,TX,2.8,329,"now, capital",A
b_40,"Cook, Davis and White",Robinfort,GA,1.5,486,"state, serve",A
b_41,Sanchez-Gibson,North Danielshire,WY,3.0,96,protect,A
b_42,Wilkins Inc,West Michaelmouth,CO,1.1,219,result,B
b_43,"Jackson, Williams and Byrd",West Katherine,CA,4.6,471,"rest, trouble",A
b_44,"Newton, Woods and Webster",Gonzalezstad,SC,2.0,90,her,A
b_45,"Harris, Flores and Frank",Anitastad,SD,3.7,331,economy,A
b_47,,Lake Ruth,ME,3.1,348,machine,B
b_48,Morales Ltd,Herreraview,CT,3.2,489,"but, visit",A
b_49,Chan PLC,South Anthonyport,RI,1.7,199,"claim, trial",B
b_50,Haynes-Reed,Dickersonport,NM,4.9,447,"ten, analysis, partner",A
b_51,Parks-Brewer,North Randy,AL,4.1,357,"stage, represent",B
b_52,Sullivan-Rogers,Frederickhaven,AR,4.8,242,individual,B
b_53,Cortez Ltd,Lake Kimberly,AZ,4.6,401,"change, music, exactly",A
b_54,Harrell Group,Donnastad,UT,3.4,435,"east, so",B
b_55,Taylor PLC,North Lauraland,NY,4.7,178,"word, result, break",A
b_56,Diaz-Collins,Rodgersside,CT,1.4,452,economy,A
b_57,Lopez-Williams,Phamfort,MI,1.8,260,,B
b_58,"Parker, Williams and Shannon",Port Jason,IL,1.2,177,party,B
b_59,Mcdonald-King,Brendafort,GA,2.3,240,"bar, window, brother",B
b_60,Rogers-Myers,East Williamside,,2.6,159,"police, player",A
b_61,Roth-Kline,East Cynthia,MN,2.1,161,"spend, in, pay",A
b_62,Kim-Yang,Goodwinhaven,NC,4.3,47,"another, sound, until",A
b_63,Stafford-Bailey,North Allison,DE,2.4,395,"including, successful",B
b_64,Patterson-Norman,North Marcusberg,WV,2.1,390,"return, red, once",B
b_65,Keller-Marshall,Rebeccabury,IL,3.2,306,federal,B
b_66,"Chan, Hernandez and Love",New Melissa,DC,1.6,498,"team, before, trade",B
b_67,Jones LLC,Lake Charlesmouth,AK,4.2,284,baby,A
b_68,Peterson-Rosales,Millershire,LA,1.3,114,appear,B
b_69,Evans-Crawford,New Davidville,MA,4.9,395,"activity, relationship, land",A
b_70,"Gibbs, Schmidt and Newman",Haasshire,AK,4.1,357,they,A
b_71,"Cervantes, Rodriguez and Walters",Kelleyside,DC,1.8,361,"wonder, crime",A
b_72,Mcclure and Sons,East Wendy,CA,1.0,71,save,B
b_73,,Ruizstad,NE,4.3,476,laugh,B
b_74,Beck-Jennings,West Emily,ND,3.8,25,program,B
b_76,Bell and Sons,South Vanessaville,MO,4.1,159,"wind, likely",B
b_77,Hines-Robertson,South Jessicafurt,OR,1.3,151,"audience, fear",B
b_78,Fuller Group,Caitlynville,LA,2.4,125,"identify, source, work",B
b_79,Norris LLC,Janestad,ME,1.5,321,"wife, ability",B
b_80,Baker Ltd,Port Shannonstad,WA,4.5,74,arrive,B
b_81,Rivera-Martin,West Christine,AL,3.5,438,"each, support",B
b_82,Gonzalez Ltd,West Patricia,AZ,2.3,319,"answer, right",
b_83,Porter Ltd,Flowersbury,MN,1.3,203,,B
b_84,"Moss, Martinez and Gardner",Olsonmouth,WA,2.2,351,"forward, try, off",B
b_85,"Adams, Hernandez and Snyder",Stanleyburgh,WA,2.3,439,"commercial, successful",B
b_86,Mitchell-Compton,Lake Brandy,AK,3.9,170,"stock, police, sport",A
b_87,Montes Group,Kaiserview,OH,3.6,472,"vote, fire, democratic",A
b_88,Evans and Sons,Harperstad,CT,4.5,315,"appear, rise, authority",A
b_89,Lewis-Mendoza,North Matthewfurt,WY,2.9,370,thought,B
b_90,Hood and Sons,East Zacharyberg,OR,1.5,287,"ten, write, before",A
b_91,"Porter, Wilson and Anderson",North Krystalborough,AZ,3.9,305,"kid, ready, president",B
b_92,Hawkins Inc,Hannahhaven,IN,4.0,48,successful,B
b_93,Curtis-Ortiz,Taylorberg,KS,3.2,370,,A
b_94,Williams LLC,Port Gregory,ID,4.1,178,"nearly, last, bar",B
b_96,,Riosfurt,MS,3.1,77,clearly,B
b_97,Rangel-Hardy,Travisburgh,MS,2.7,16,"sell, various",B
b_98,Wright-Stone,Brianmouth,ID,1.1,94,"floor, available",A
b_99,,Lake Heather,MD,1.4,208,"compare, check",B
b_100,Patterson-Neal,East Erichaven,VA,1.1,141,"authority, report, key",A
b_101,Elliott PLC,Wagnerhaven,UT,3.5,85,"alone, important, laugh",
b_102,Wallace and Sons,Lake Dennischester,AR,2.3,259,"both, line, indeed",B
b_103,Black LLC,Reynoldsberg,UT,3.0,356,,A
b_104,"Jackson, Hunt and Bradley",East Melindachester,CO,4.6,452,"mother, debate, campaign",B
b_105,Lee-Schmitt,New Nicholas,ID,2.0,218,"reduce, carry",B
b_106,Herrera-Robinson,South Victoria,VT,2.6,93,another,A
b_107,Holmes-Green,Ballstad,MO,4.0,232,,A
b_108,Becker Ltd,North Sarahfort,WY,1.9,262,kid,A
b_109,"Greene, Garcia and Melton",Sabrinaland,ME,1.3,419,"moment, put",B
b_110,Barajas-Johnston,Nicolechester,ME,2.2,40,"allow, executive",A
b_111,"Martinez, Brown and Jenkins",Thompsonchester,ND,1.6,364,"appear, indeed",A
b_112,Larson-Cox,West Abigailport,RI,4.7,210,middle,
b_113,"Hunter, Kelly and Valentine",Matthewtown,WA,4.2,462,stock,B
b_114,"Perry, Mckenzie and Villegas",Jonathanstad,SC,3.5,61,"visit, last, until",B
b_115,Shah LLC,Millerside,MS,4.5,377,"deal, degree, among",A
b_116,Munoz-Gonzalez,New Territown,PA,4.2,81,"evidence, yes",A
b_117,"Rogers, Hill and Shaw",Christopherview,IA,1.7,30,officer,A
b_118,"Johnson, Wise and Bright",New Anthonyfort,KS,4.6,25,"feeling, wife, measure",B
b_119,Mason Inc,Angelaberg,AL,3.2,444,"study, authority",B
b_120,Weeks-Newton,Port Cameron,DE,4.2,25,"ready, not",B
b_121,Key-Alvarez,Lake Joshua,WA,4.6,411,"couple, nor, risk",B
b_122,Perry LLC,Wagnerland,IA,2.3,184,"step, community",B
b_123,Wilson and Sons,Smithmouth,VA,1.4,321,small,A
b_124,"Nelson, Tran and Jordan",New Robin,HI,1.9,421,"item, while",A
b_125,Harrington-York,West Nicoleshire,FL,2.7,347,most,B
b_126,Dillon-Page,Wrightmouth,OK,4.3,87,between,B
b_127,Watson Inc,Port Jeffrey,TN,4.4,449,"team, response, part",A
b_128,Fleming LLC,Jeremychester,AL,1.0,249,"sense, impact, blue",A
b_129,"Martinez, Nguyen and Greene",New Frankton,SD,3.0,46,"respond, from, safe",A
b_130,"Cox, Christensen and Freeman",Saundersport,CA,2.7,241,"civil, better",
b_131,"Meza, Barr and May",Davisborough,PA,1.9,409,"per, history, more",A
b_132,Sanchez-Anderson,Matthewport,MO,1.5,222,"energy, national, stuff",A
b_133,Hammond LLC,North Jared,IA,2.4,202,"my, baby",A
b_134,White Ltd,Rodriguezchester,CO,4.8,69,"family, than, action",A
b_135,Brooks-Howell,Lake Lisa,KY,2.3,198,"another, exist",A
b_136,,Lake Drew,AK,3.1,276,"act, be",A
b_137,Hines-Gibson,Lawsontown,VT,3.8,135,fight,A
b_138,Parks LLC,South Patriciabury,RI,2.5,212,various,B
b_139,Huerta-Johnson,East Rebekah,NC,4.9,331,"house, line, kitchen",B
b_140,Rogers PLC,Port Lisaberg,ME,4.8,391,"performance, sister",B
b_141,Alvarez Inc,South Amanda,IA,2.0,41,direction,A
b_144,Boyd-Reed,,TN,2.1,270,hotel,B
b_145,"Johnston, Wilson and Johnson",Sethborough,HI,1.1,396,"analysis, others, sound",A
b_146,"Hall, Williams and Strickland",North Kenneth,NV,3.4,421,race,A
b_147,Atkinson PLC,South Brandonchester,VT,3.0,355,"population, share, whose",A
b_148,"Foley, Lynch and Mcgee",Christinaburgh,AZ,1.2,480,"issue, however",B
b_149,Jackson-Tucker,South Paul,GA,2.1,103,"your, prevent, guess",A
b_150,Henry Ltd,Evanton,SC,4.6,337,allow,A
b_151,Rivera-Payne,Angelshire,OH,2.0,109,"piece, show",A
b_152,Willis-Long,Wendyberg,MD,1.6,294,"significant, pass",
b_153,"Bradley, Dunlap and Burnett",Kimberlyfort,MA,3.0,470,"music, sit, eat",B
b_154,Johnston-Lloyd,Port Allen,NC,4.9,324,"situation, win",B
b_155,Davis-Torres,Bryanburgh,AR,2.0,34,"old, either, entire",A
b_156,"Reed, Brown and Miles",Morrisport,NJ,3.7,415,"station, various",B
b_157,Washington PLC,Brettside,TN,4.0,362,"week, treatment, likely",B
b_158,Osborne-Parker,Crystalberg,WA,2.0,366,against,A
b_159,"Buchanan, Williams and Johnson",West Pamela,MO,3.9,126,"series, plan, unit",B
b_160,Hunt Ltd,Gregoryside,MT,2.5,208,"upon, right, example",A
b_161,"Washington, Wilson and Faulkner",Dawnchester,WV,3.5,288,such,A
b_162,"Hodges, Thompson and Ramos",,HI,3.5,79,"former, get, kitchen",B
