user_id,name,review_count,average_stars,member_since
u_0,Alan,32,2.08,2019-04-05
u_1,Joel,90,1.97,2015-11-15
u_2,Claire,93,1.1,2021-10-05
u_3,Samantha,59,3.01,2017-05-15
u_4,Monique,42,4.44,2021-04-05
u_5,Lucas,62,1.63,2023-09-16
u_6,Cole,19,3.37,2015-07-25
u_7,Christopher,93,3.88,
u_8,Randy,35,2.47,
u_9,Latoya,76,3.81,2015-05-15
u_10,Robin,8,4.35,2019-02-25
u_11,Curtis,89,1.04,2020-01-08
u_12,Darrell,91,3.94,2016-05-25
u_13,Donna,43,3.4,2017-03-19
u_14,Deborah,45,4.38,2020-04-11
u_15,Teresa,6,1.55,2018-02-11
u_16,Karen,13,4.23,2020-08-03
u_17,Megan,11,1.56,2018-06-14
u_18,Joshua,70,3.34,2017-09-24
u_19,Nina,69,2.08,2024-08-15
u_20,Darren,7,1.96,2018-02-18
u_21,Kimberly,55,2.99,2020-05-27
u_22,Michael,55,4.03,2016-01-09
u_23,Robin,19,3.58,2024-07-19
u_24,Sarah,6,4.95,2021-06-17
u_25,Margaret,89,1.48,2019-11-02
u_26,Patricia,9,3.89,2025-02-26
u_27,Steven,20,1.22,2015-09-04
u_28,Jermaine,25,2.43,2024-12-18
u_29,Christine,50,2.37,2021-03-02
u_30,Mary,72,2.02,2017-08-04
u_31,John,50,3.13,2017-02-06
u_32,Christopher,38,1.97,2023-10-22
u_33,Chad,66,2.47,2023-12-08
u_34,Elizabeth,57,4.44,2021-05-30
u_35,Edward,22,2.29,2020-12-15
u_36,Kevin,56,4.94,2019-10-29
u_37,Allison,36,2.1,
u_38,Misty,51,4.61,2015-06-17
u_39,Michael,68,2.73,2024-06-15
u_40,Maria,1,4.63,2022-12-28
u_41,Mary,48,2.71,2017-09-03
u_42,Andrea,33,4.08,2021-11-28
u_43,Steven,24,2.6,2024-10-26
u_44,Michael,49,3.48,2018-07-16
u_45,Renee,69,1.21,2023-01-06
u_46,Seth,58,3.4,2021-06-26
u_47,Charles,48,2.26,2019-02-25
u_48,Gail,57,4.99,2020-01-18
u_49,Kayla,64,4.24,2021-11-13
u_50,Joshua,99,1.32,2021-03-15
u_51,Adam,53,1.79,2020-10-18
u_52,Michael,60,3.46,2018-10-02
u_53,Kurt,90,2.2,2024-10-17
u_54,Bethany,43,1.85,2016-01-22
u_55,Shane,41,2.42,2023-12-23
u_56,Desiree,26,1.42,2020-04-26
u_57,Amanda,59,3.22,2023-05-16
u_58,Kenneth,49,2.13,2015-07-21
u_59,Devin,64,4.47,2021-01-09
u_60,Christy,5,1.13,2018-07-18
u_61,Stephanie,44,2.4,2021-11-11
,Hannah,18,3.2,2022-04-21
u_63,Jennifer,57,1.94,2021-11-12
u_64,Lorraine,89,1.23,2020-07-28
u_65,Sonia,40,1.29,2020-12-30
u_66,Chad,46,1.64,2017-07-27
u_67,Gina,58,2.09,2023-08-25
u_68,Meredith,85,3.82,2019-10-09
u_69,Laura,24,2.9,2021-09-11
u_70,Darren,28,1.13,2024-07-02
u_71,Jackie,46,1.62,2016-02-03
u_72,Mark,68,2.47,2023-05-22
u_73,Joshua,72,2.68,2024-12-18
u_74,Kelly,54,1.25,2018-05-10
u_75,Steven,33,1.48,2024-10-02
u_76,Jennifer,67,2.05,2023-08-11
u_77,Zachary,84,4.35,2020-02-14
u_78,,35,1.84,2016-08-27
u_79,Charles,39,1.91,2017-04-20
u_80,Theresa,47,2.98,
u_81,Heidi,71,4.57,2016-07-29
u_82,Angela,91,3.11,2017-05-28
u_83,Jamie,5,1.32,2024-05-05
u_84,Annette,37,1.75,2017-11-10
u_85,Victoria,1,4.42,2017-07-24
u_86,Lauren,86,4.51,2023-12-25
u_87,Rebecca,56,4.18,2017-11-18
u_88,Linda,7,3.17,2024-10-27
u_89,Toni,64,2.76,2025-02-05
u_90,Rebecca,8,2.07,2019-09-22
u_91,Cathy,94,3.19,2017-01-08
u_92,Richard,64,3.73,2022-08-31
u_93,Mark,57,3.4,2019-05-30
u_94,James,28,1.9,2020-09-27
u_95,Kevin,26,4.61,2024-05-08
u_96,Hannah,34,2.56,2021-11-16
u_98,Karla,22,2.59,2020-12-27
u_99,Tammy,20,1.15,2015-09-26
u_100,Stephanie,14,3.95,2015-04-22
u_101,David,23,4.68,2024-12-21
u_103,Jason,19,3.17,2024-06-20
u_104,Edward,78,4.23,2017-04-02
u_105,Brian,39,2.28,2021-12-27
u_106,Timothy,37,2.14,2020-04-12
u_107,Edward,99,2.64,2023-07-06
u_108,Bryan,1,3.2,2022-08-02
u_109,Jeffrey,19,3.21,
u_110,Preston,15,2.95,2019-06-17
u_111,Kenneth,89,4.28,2025-04-05
u_112,Jennifer,1,1.61,2023-04-27
u_113,Andrew,31,1.34,2017-09-08
u_114,Mario,52,1.67,2016-09-27
u_115,Carolyn,43,3.82,2024-01-17
u_116,Amy,46,1.58,2022-10-13
u_117,Juan,86,2.29,2022-12-01
u_118,Dawn,50,4.52,2018-02-06
u_119,Janet,20,1.56,2017-05-14
u_120,Deborah,62,3.11,2021-02-16
u_121,Rebecca,43,3.02,
u_122,David,5,1.14,2022-02-04
u_123,Ryan,79,1.46,2019-11-07
u_124,Patrick,66,4.8,2017-10-04
u_125,James,12,4.84,2017-11-08
u_126,Tyler,57,4.5,2015-10-11
u_127,Sarah,60,2.73,2019-11-15
u_128,Jeffery,55,3.37,2021-11-21
u_129,Jeanne,71,4.3,2020-08-05
u_130,Robert,66,3.7,2018-05-17
u_131,Matthew,72,4.58,2020-12-08
u_132,Eric,73,2.26,2017-07-26
u_133,Wayne,27,3.5,2018-06-26
u_134,William,28,3.27,2019-09-04
u_135,Angela,37,4.94,2024-09-04
u_136,Brandon,79,4.51,2021-09-28
u_137,Chad,19,1.66,2016-12-03
u_138,Spencer,94,1.24,2016-04-30
u_139,Samantha,51,2.79,2019-03-18
u_140,Joshua,13,3.18,2018-01-09
u_141,Robert,45,4.16,2024-03-08
u_142,Jessica,6,1.64,2024-01-17
u_143,James,94,4.68,2022-05-11
u_144,Kathryn,1,3.29,2017-07-08
u_145,Elizabeth,25,4.37,2017-01-11
u_146,Michael,99,4.35,2024-04-08
u_147,William,26,4.81,2015-06-11
u_148,Sandra,13,3.63,2023-07-10
u_149,Keith,19,4.14,2019-11-11
u_150,Kevin,10,4.28,2021-12-07
u_151,Connie,45,2.87,2021-11-12
u_152,Vanessa,71,2.73,2021-03-16
u_153,Carrie,15,4.79,2017-06-18
u_154,Kenneth,87,1.27,2023-11-03
u_155,Jennifer,31,4.81,2023-09-18
u_156,Ryan,8,3.31,2022-07-29
u_157,Patrick,30,2.18,2021-06-20
u_158,Amanda,98,3.23,2018-07-14
u_159,Gail,97,3.55,2019-07-30
u_160,Nicole,1,1.44,2018-10-22
u_161,Teresa,16,3.68,2017-08-01
u_162,Edward,11,4.61,2017-06-03
u_163,Daniel,27,4.89,2017-06-02
u_164,Jason,86,3.4,2022-11-17
u_165,Jo,40,2.31,2015-09-01
u_166,Anna,83,3.25,2024-03-27
u_167,Devin,44,1.01,2024-09-10
u_168,Joshua,70,4.68,2023-06-23
u_169,Daniel,57,4.14,2017-07-30
u_170,Jeffrey,48,1.67,2018-12-20
u_171,Jenna,40,3.44,2017-02-14
u_172,Joseph,39,1.08,2024-04-08
u_173,Jerry,84,1.86,2015-08-05
u_174,Shelly,3,1.68,2019-11-21
u_175,John,55,1.62,2018-11-15
u_176,Caitlyn,1,3.21,2023-07-09
u_177,Thomas,23,4.86,2022-01-18
u_178,Jennifer,67,1.52,2020-08-23
u_179,Stacey,62,4.49,2016-02-16
u_180,Nathan,34,1.33,2019-07-19
u_182,Cynthia,48,3.51,2023-07-10
u_183,Raymond,91,3.3,2017-10-16
u_184,Michelle,53,2.38,2020-03-08
u_187,Claudia,11,4.09,2020-08-18
u_188,Timothy,15,1.05,2023-07-31
u_189,Alexander,90,1.31,2022-11-26
u_190,Jeffrey,11,1.01,2024-01-14
u_191,Ian,7,1.06,2018-03-22
u_192,Caleb,47,4.36,2022-07-12
u_193,Lynn,8,1.33,2021-11-16
u_194,Michelle,5,3.84,2017-04-18
u_195,Autumn,81,4.92,2020-11-22
u_196,Amber,87,4.28,2023-11-17
u_197,Nicole,66,1.27,2017-03-07
u_198,Brian,91,4.58,2017-01-29
u_199,Laurie,63,4.83,2024-09-08
u_200,Richard,21,3.83,2015-06-17
u_201,Joshua,71,3.47,2021-08-31
u_202,Stephanie,90,3.41,2025-02-03
u_203,Brian,94,4.28,2017-07-01
u_204,Kaitlyn,12,3.21,2022-09-28
u_205,Jessica,11,2.34,2018-12-25
u_206,Andrew,54,4.88,2019-05-11
u_207,Timothy,81,1.19,2017-08-20
u_208,Theresa,10,3.66,2019-11-12
u_209,Andrew,16,3.34,2019-12-23
u_210,Kyle,15,3.56,2020-01-21
u_211,Donald,58,3.57,2022-11-03
u_212,Norma,79,1.49,2023-09-16
u_213,Elizabeth,84,1.53,2022-08-27
u_214,Evelyn,4,1.27,2015-09-22
u_215,Angela,96,4.75,2018-08-19
u_216,Michelle,22,3.44,2018-08-22
u_217,Anthony,35,1.31,2016-11-25
u_218,Donald,14,2.73,2021-05-05
u_219,Lori,94,2.44,2018-11-05
u_220,Jonathan,31,1.59,2018-04-21
u_221,Kelly,74,4.29,2018-07-05
u_222,Brian,70,4.1,2019-09-25
u_223,Derek,91,2.86,2021-10-15
u_224,Julie,11,3.09,2024-09-06
